Instância,Dados Iniciais,Diagnóstico Inicial,Diagnóstico do Modelo,Contribuições
523,"{'Temperature': 25.2, 'Humidity': 88.9, 'PM2.5': 22.3, 'PM10': 44.2, 'NO2': 34.1, 'SO2': 17.5, 'CO': 2.33, 'Proximity_to_Industrial_Areas': 4.4, 'Population_Density': 578.0}",Poor,Poor,"{'PM10 > 0.30': 0.12124143884072809, 'CO > 0.62': 0.058294577721852314, 'Proximity_to_Industrial_Areas <= -0.84': 0.037641081957559164, 'NO2 > 0.61': 0.02896405324536949, 'Humidity > 0.65': 0.02797932716749043}"
524,"{'Temperature': 21.7, 'Humidity': 51.6, 'PM2.5': 7.1, 'PM10': 9.7, 'NO2': 21.9, 'SO2': 2.7, 'CO': 0.96, 'Proximity_to_Industrial_Areas': 10.2, 'Population_Density': 247.0}",Good,Good,"{'PM10 <= -0.65': -0.04140855973394129, 'Humidity <= -0.74': -0.031177206478459115, 'Population_Density <= -0.75': -0.029890354928159203, 'CO <= -0.86': -0.024313888104517265, 'Temperature <= -0.73': -0.02206836526097691}"
525,"{'Temperature': 42.8, 'Humidity': 61.5, 'PM2.5': 13.8, 'PM10': 22.2, 'NO2': 31.0, 'SO2': 9.1, 'CO': 1.97, 'Proximity_to_Industrial_Areas': 5.5, 'Population_Density': 637.0}",Poor,Poor,"{'CO > 0.62': 0.0525351868192329, 'Population_Density > 0.68': 0.046543787641743016, '-0.31 < PM10 <= 0.30': -0.03182447728743379, 'Temperature > 0.61': 0.031062540255481916, '-0.84 < Proximity_to_Industrial_Areas <= -0.15': -0.008486886896767533}"
526,"{'Temperature': 33.2, 'Humidity': 60.0, 'PM2.5': 54.5, 'PM10': 65.5, 'NO2': 20.2, 'SO2': 7.9, 'CO': 1.42, 'Proximity_to_Industrial_Areas': 9.0, 'Population_Density': 418.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.12096005247631857, 'PM2.5 > 0.25': -0.041263827191166565, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.02122381076328233, '-0.75 < Population_Density <= -0.02': -0.01619074003893978, '-0.71 < NO2 <= -0.14': -0.012582533667219608}"
527,"{'Temperature': 25.9, 'Humidity': 71.0, 'PM2.5': 22.1, 'PM10': 21.8, 'NO2': 14.4, 'SO2': 2.3, 'CO': 0.93, 'Proximity_to_Industrial_Areas': 12.5, 'Population_Density': 314.0}",Good,Good,"{'Population_Density <= -0.75': -0.03034616863028514, 'CO <= -0.86': -0.02734600180514987, '-0.31 < PM10 <= 0.30': -0.026943144303297098, 'Proximity_to_Industrial_Areas > 0.74': -0.01657204330515442, 'NO2 <= -0.71': -0.015985809090924088}"
528,"{'Temperature': 32.0, 'Humidity': 63.8, 'PM2.5': 53.7, 'PM10': 62.099999999999994, 'NO2': 27.2, 'SO2': 6.8, 'CO': 1.49, 'Proximity_to_Industrial_Areas': 17.1, 'Population_Density': 345.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.10552783685433534, 'PM2.5 > 0.25': -0.03681226682692969, 'Population_Density <= -0.75': -0.034814658304743965, 'Proximity_to_Industrial_Areas > 0.74': -0.01243651257982351, '-0.15 < Temperature <= 0.61': -0.008982638415411867}"
529,"{'Temperature': 28.9, 'Humidity': 99.1, 'PM2.5': 29.9, 'PM10': 46.2, 'NO2': 42.8, 'SO2': 6.1, 'CO': 1.99, 'Proximity_to_Industrial_Areas': 4.699999999999999, 'Population_Density': 594.0}",Hazardous,Poor,"{'PM10 > 0.30': 0.1322053281435153, 'CO > 0.62': 0.0661686207623595, 'NO2 > 0.61': 0.049226130750864135, 'PM2.5 > 0.25': -0.04159293538132007, 'Humidity > 0.65': 0.03789091328786485}"
530,"{'Temperature': 22.8, 'Humidity': 92.7, 'PM2.5': 22.5, 'PM10': 44.6, 'NO2': 27.9, 'SO2': 26.1, 'CO': 2.32, 'Proximity_to_Industrial_Areas': 4.3, 'Population_Density': 732.0}",Poor,Poor,"{'PM10 > 0.30': 0.1120762971887941, 'CO > 0.62': 0.06140221691373506, 'Population_Density > 0.68': 0.0497353179907713, 'Proximity_to_Industrial_Areas <= -0.84': 0.03801448874207098, 'Temperature <= -0.73': -0.026080925281503704}"
531,"{'Temperature': 43.3, 'Humidity': 62.8, 'PM2.5': 8.0, 'PM10': 21.7, 'NO2': 31.1, 'SO2': 10.2, 'CO': 2.51, 'Proximity_to_Industrial_Areas': 4.699999999999999, 'Population_Density': 429.0}",Poor,Poor,"{'CO > 0.62': 0.04695133699744275, '-0.65 < PM10 <= -0.31': -0.040729645768743925, 'Proximity_to_Industrial_Areas <= -0.84': 0.028358562642785544, 'Temperature > 0.61': 0.027898858316491526, '-0.75 < Population_Density <= -0.02': -0.012112898647474231}"
532,"{'Temperature': 34.3, 'Humidity': 84.1, 'PM2.5': 12.2, 'PM10': 21.4, 'NO2': 17.4, 'SO2': 13.6, 'CO': 1.29, 'Proximity_to_Industrial_Areas': 5.9, 'Population_Density': 626.0}",Moderate,Moderate,"{'-0.65 < PM10 <= -0.31': -0.04123688445520957, 'Population_Density > 0.68': 0.038145827257746956, 'Humidity > 0.65': 0.025201179923263973, '-0.86 < CO <= -0.17': -0.02321350045499114, 'Temperature > 0.61': 0.02262099670485186}"
533,"{'Temperature': 23.9, 'Humidity': 73.6, 'PM2.5': 2.0, 'PM10': 12.0, 'NO2': 18.5, 'SO2': 3.2, 'CO': 1.08, 'Proximity_to_Industrial_Areas': 11.1, 'Population_Density': 239.0}",Good,Good,"{'Population_Density <= -0.75': -0.0385787638964888, 'PM10 <= -0.65': -0.03811287900036592, 'PM2.5 <= -0.63': 0.0226965123967475, '-0.86 < CO <= -0.17': -0.01952612029600677, 'NO2 <= -0.71': -0.01847372486162559}"
534,"{'Temperature': 36.0, 'Humidity': 70.7, 'PM2.5': 69.5, 'PM10': 78.1, 'NO2': 29.1, 'SO2': 16.2, 'CO': 2.28, 'Proximity_to_Industrial_Areas': 7.2, 'Population_Density': 420.0}",Poor,Poor,"{'PM10 > 0.30': 0.11219143196340627, 'CO > 0.62': 0.06344396280376384, 'PM2.5 > 0.25': -0.04247010303535273, 'SO2 > 0.55': 0.03873212894452083, 'Temperature > 0.61': 0.029966874532717406}"
535,"{'Temperature': 22.6, 'Humidity': 59.5, 'PM2.5': 2.1000000000000014, 'PM10': 9.3, 'NO2': 12.4, 'SO2': 7.5, 'CO': 0.95, 'Proximity_to_Industrial_Areas': 12.5, 'Population_Density': 451.0}",Good,Good,"{'PM10 <= -0.65': -0.04441822079737027, 'CO <= -0.86': -0.03104029305571984, 'PM2.5 <= -0.63': 0.02562885334828679, 'Temperature <= -0.73': -0.020029073536361467, 'NO2 <= -0.71': -0.01721466511259592}"
536,"{'Temperature': 24.0, 'Humidity': 86.0, 'PM2.5': 35.5, 'PM10': 50.3, 'NO2': 29.5, 'SO2': 7.0, 'CO': 1.56, 'Proximity_to_Industrial_Areas': 5.1, 'Population_Density': 586.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.11559769052569385, 'Proximity_to_Industrial_Areas <= -0.84': 0.038929362369724614, 'PM2.5 > 0.25': -0.0383321982893954, 'Humidity > 0.65': 0.02466175863299479, 'Temperature <= -0.73': -0.01626301975765512}"
537,"{'Temperature': 31.0, 'Humidity': 66.8, 'PM2.5': 8.7, 'PM10': 16.8, 'NO2': 25.0, 'SO2': 22.1, 'CO': 1.4, 'Proximity_to_Industrial_Areas': 5.9, 'Population_Density': 798.0}",Poor,Moderate,"{'Population_Density > 0.68': 0.05422500609203182, '-0.65 < PM10 <= -0.31': -0.04222063094515124, 'SO2 > 0.55': 0.027742559818803865, '-0.63 < PM2.5 <= -0.33': 0.02328257776084022, '-0.86 < CO <= -0.17': -0.017845772703969847}"
538,"{'Temperature': 32.2, 'Humidity': 63.2, 'PM2.5': 0.8999999999999986, 'PM10': 8.3, 'NO2': 22.3, 'SO2': 5.7, 'CO': 1.44, 'Proximity_to_Industrial_Areas': 5.8, 'Population_Density': 504.0}",Moderate,Moderate,"{'PM10 <= -0.65': -0.041698910852767265, 'PM2.5 <= -0.63': 0.029394212415940788, '-0.73 < SO2 <= -0.29': -0.01563685956481666, '-0.84 < Proximity_to_Industrial_Areas <= -0.15': -0.012186587199440376, '-0.74 < Humidity <= -0.01': -0.012084312812329334}"
539,"{'Temperature': 17.0, 'Humidity': 47.4, 'PM2.5': 10.1, 'PM10': 16.5, 'NO2': 24.7, 'SO2': 2.7, 'CO': 1.02, 'Proximity_to_Industrial_Areas': 11.0, 'Population_Density': 555.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03645826454015271, 'CO <= -0.86': -0.030903842790953286, 'Humidity <= -0.74': -0.0295127505298471, 'Temperature <= -0.73': -0.019703239666041143, 'SO2 <= -0.73': -0.016617909263798736}"
540,"{'Temperature': 44.4, 'Humidity': 70.0, 'PM2.5': 13.0, 'PM10': 26.5, 'NO2': 36.2, 'SO2': 9.2, 'CO': 1.89, 'Proximity_to_Industrial_Areas': 2.7, 'Population_Density': 685.0}",Hazardous,Poor,"{'CO > 0.62': 0.06047329354185495, 'NO2 > 0.61': 0.03926418067806611, 'Population_Density > 0.68': 0.037428604284003505, 'Proximity_to_Industrial_Areas <= -0.84': 0.033532074476494075, '-0.31 < PM10 <= 0.30': -0.03269571637045012}"
541,"{'Temperature': 30.1, 'Humidity': 54.7, 'PM2.5': 5.199999999999999, 'PM10': 7.199999999999999, 'NO2': 30.1, 'SO2': 18.6, 'CO': 1.65, 'Proximity_to_Industrial_Areas': 5.8, 'Population_Density': 520.0}",Moderate,Moderate,"{'PM10 <= -0.65': -0.04265491320099431, 'SO2 > 0.55': 0.026591116544357946, 'Humidity <= -0.74': -0.025373553280399704, '-0.63 < PM2.5 <= -0.33': 0.014180962274047726, '-0.02 < Population_Density <= 0.68': 0.00847250770814963}"
542,"{'Temperature': 27.4, 'Humidity': 67.4, 'PM2.5': 10.8, 'PM10': 32.6, 'NO2': 51.6, 'SO2': 25.2, 'CO': 2.88, 'Proximity_to_Industrial_Areas': 2.5999999999999996, 'Population_Density': 846.0}",Hazardous,Hazardous,"{'CO > 0.62': 0.06090541581183618, 'Population_Density > 0.68': 0.05426062205285292, 'NO2 > 0.61': 0.04204199222270358, '-0.31 < PM10 <= 0.30': -0.03620900467768599, 'SO2 > 0.55': 0.03571509032904273}"
543,"{'Temperature': 28.7, 'Humidity': 55.1, 'PM2.5': 20.5, 'PM10': 23.6, 'NO2': 17.3, 'SO2': 2.6000000000000005, 'CO': 0.86, 'Proximity_to_Industrial_Areas': 11.9, 'Population_Density': 347.0}",Good,Good,"{'Population_Density <= -0.75': -0.03013629010925666, '-0.31 < PM10 <= 0.30': -0.030043322759964824, 'CO <= -0.86': -0.02870140267027679, 'Humidity <= -0.74': -0.021512265090156177, 'SO2 <= -0.73': -0.018731176115418403}"
544,"{'Temperature': 23.5, 'Humidity': 61.4, 'PM2.5': 10.9, 'PM10': 17.5, 'NO2': 14.3, 'SO2': 4.4, 'CO': 0.87, 'Proximity_to_Industrial_Areas': 14.3, 'Population_Density': 443.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03811998326999278, 'CO <= -0.86': -0.028928428804065816, 'Temperature <= -0.73': -0.021697692489830684, '-0.63 < PM2.5 <= -0.33': 0.01921696122754709, '-0.75 < Population_Density <= -0.02': -0.017618635397835057}"
545,"{'Temperature': 23.7, 'Humidity': 39.2, 'PM2.5': 6.9, 'PM10': 13.2, 'NO2': 21.8, 'SO2': 3.8, 'CO': 0.94, 'Proximity_to_Industrial_Areas': 11.8, 'Population_Density': 576.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.036450997732095695, 'CO <= -0.86': -0.024745341069172328, 'Humidity <= -0.74': -0.02069501303469474, 'Temperature <= -0.73': -0.014422961560338027, '-0.63 < PM2.5 <= -0.33': 0.01275356972173454}"
546,"{'Temperature': 19.8, 'Humidity': 76.1, 'PM2.5': 15.9, 'PM10': 20.4, 'NO2': 25.3, 'SO2': 4.2, 'CO': 1.01, 'Proximity_to_Industrial_Areas': 10.3, 'Population_Density': 357.0}",Good,Good,"{'Population_Density <= -0.75': -0.04079201366005428, '-0.65 < PM10 <= -0.31': -0.04037502447720583, 'CO <= -0.86': -0.02761294417316178, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.027145993369800375, 'Temperature <= -0.73': -0.02047816267185829}"
547,"{'Temperature': 37.6, 'Humidity': 80.6, 'PM2.5': 8.5, 'PM10': 17.8, 'NO2': 25.0, 'SO2': 15.2, 'CO': 1.65, 'Proximity_to_Industrial_Areas': 4.1, 'Population_Density': 768.0}",Poor,Poor,"{'Population_Density > 0.68': 0.054156794741370924, '-0.65 < PM10 <= -0.31': -0.04274736771585595, 'Temperature > 0.61': 0.03531084168226529, 'Proximity_to_Industrial_Areas <= -0.84': 0.03465462093511097, 'SO2 > 0.55': 0.03180493299749136}"
548,"{'Temperature': 28.9, 'Humidity': 75.0, 'PM2.5': 17.8, 'PM10': 26.6, 'NO2': 20.0, 'SO2': 17.2, 'CO': 1.53, 'Proximity_to_Industrial_Areas': 6.9, 'Population_Density': 346.0}",Moderate,Moderate,"{'Population_Density <= -0.75': -0.04053985340741573, '-0.31 < PM10 <= 0.30': -0.03163330769726454, 'SO2 > 0.55': 0.02297926802478338, 'NO2 <= -0.71': -0.01591944554292605, '-0.17 < CO <= 0.62': -0.012751942076650556}"
549,"{'Temperature': 24.2, 'Humidity': 54.1, 'PM2.5': 3.3000000000000007, 'PM10': 6.300000000000001, 'NO2': 17.4, 'SO2': 9.8, 'CO': 1.11, 'Proximity_to_Industrial_Areas': 14.6, 'Population_Density': 428.0}",Good,Good,"{'PM10 <= -0.65': -0.04053961542065002, '-0.86 < CO <= -0.17': -0.025990117802128343, 'PM2.5 <= -0.63': 0.025307365706414522, 'NO2 <= -0.71': -0.020824060891114448, 'Humidity <= -0.74': -0.0205925772195505}"
550,"{'Temperature': 29.7, 'Humidity': 81.9, 'PM2.5': 2.8000000000000007, 'PM10': 12.100000000000001, 'NO2': 34.9, 'SO2': 14.3, 'CO': 1.69, 'Proximity_to_Industrial_Areas': 5.4, 'Population_Density': 464.0}",Moderate,Moderate,"{'PM10 <= -0.65': -0.04808378681234729, 'NO2 > 0.61': 0.03691317997020226, 'Humidity > 0.65': 0.03486911209650841, 'Proximity_to_Industrial_Areas <= -0.84': 0.029112225775911108, 'SO2 > 0.55': 0.028707661166172124}"
551,"{'Temperature': 26.7, 'Humidity': 50.1, 'PM2.5': 33.2, 'PM10': 43.6, 'NO2': 26.9, 'SO2': 11.5, 'CO': 1.23, 'Proximity_to_Industrial_Areas': 10.8, 'Population_Density': 651.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.1143091948132444, 'Population_Density > 0.68': 0.04678450523682985, 'PM2.5 > 0.25': -0.0359830034380963, '-0.86 < CO <= -0.17': -0.029873775093833196, 'Humidity <= -0.74': -0.02603258263265495}"
552,"{'Temperature': 24.7, 'Humidity': 65.1, 'PM2.5': 1.1999999999999993, 'PM10': 4.0, 'NO2': 23.4, 'SO2': 3.1000000000000005, 'CO': 1.03, 'Proximity_to_Industrial_Areas': 11.1, 'Population_Density': 461.0}",Good,Good,"{'PM10 <= -0.65': -0.04192837643382951, 'CO <= -0.86': -0.03238670500984081, 'PM2.5 <= -0.63': 0.021810794754859312, '-0.75 < Population_Density <= -0.02': -0.021463861199028846, 'Temperature <= -0.73': -0.020193682753709478}"
553,"{'Temperature': 34.1, 'Humidity': 76.6, 'PM2.5': 6.5, 'PM10': 21.3, 'NO2': 30.6, 'SO2': 12.5, 'CO': 2.12, 'Proximity_to_Industrial_Areas': 7.3, 'Population_Density': 421.0}",Poor,Poor,"{'CO > 0.62': 0.05733622759409458, '-0.65 < PM10 <= -0.31': -0.04106301040843897, '-0.75 < Population_Density <= -0.02': -0.014245974002504385, '-0.63 < PM2.5 <= -0.33': 0.012500213472134973, '-0.84 < Proximity_to_Industrial_Areas <= -0.15': -0.009311934098872984}"
554,"{'Temperature': 24.3, 'Humidity': 77.6, 'PM2.5': 16.9, 'PM10': 29.0, 'NO2': 34.7, 'SO2': 8.9, 'CO': 1.22, 'Proximity_to_Industrial_Areas': 9.0, 'Population_Density': 316.0}",Moderate,Moderate,"{'Population_Density <= -0.75': -0.0345096656935112, 'NO2 > 0.61': 0.030909449229958662, '-0.31 < PM10 <= 0.30': -0.029387794166994143, 'Temperature <= -0.73': -0.02263138582655613, '-0.86 < CO <= -0.17': -0.02029901782955459}"
555,"{'Temperature': 30.3, 'Humidity': 68.3, 'PM2.5': 18.8, 'PM10': 29.0, 'NO2': 23.9, 'SO2': 11.2, 'CO': 1.47, 'Proximity_to_Industrial_Areas': 9.6, 'Population_Density': 456.0}",Moderate,Moderate,"{'-0.31 < PM10 <= 0.30': -0.036308576410588024, '-0.75 < Population_Density <= -0.02': -0.015172892131870988, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.01447247427080869, '-0.17 < CO <= 0.62': -0.01283390891104064, '-0.71 < NO2 <= -0.14': -0.00907711900225779}"
556,"{'Temperature': 26.5, 'Humidity': 78.9, 'PM2.5': 6.300000000000001, 'PM10': 18.5, 'NO2': 34.9, 'SO2': 11.6, 'CO': 1.95, 'Proximity_to_Industrial_Areas': 5.0, 'Population_Density': 555.0}",Moderate,Poor,"{'CO > 0.62': 0.06472298005929779, 'NO2 > 0.61': 0.04060103495852525, '-0.65 < PM10 <= -0.31': -0.03960230495052527, 'Proximity_to_Industrial_Areas <= -0.84': 0.02668268903049314, '-0.73 < Temperature <= -0.15': -0.016834619135910705}"
557,"{'Temperature': 32.3, 'Humidity': 46.7, 'PM2.5': 20.8, 'PM10': 34.7, 'NO2': 30.4, 'SO2': 11.4, 'CO': 1.33, 'Proximity_to_Industrial_Areas': 5.3, 'Population_Density': 677.0}",Moderate,Moderate,"{'Population_Density > 0.68': 0.04284287983441527, 'Proximity_to_Industrial_Areas <= -0.84': 0.034756829404918844, '-0.31 < PM10 <= 0.30': -0.02940148188767854, '-0.86 < CO <= -0.17': -0.024386468549996015, 'Humidity <= -0.74': -0.02039940503306707}"
558,"{'Temperature': 33.8, 'Humidity': 50.4, 'PM2.5': 15.2, 'PM10': 25.0, 'NO2': 23.5, 'SO2': 7.9, 'CO': 1.71, 'Proximity_to_Industrial_Areas': 6.1, 'Population_Density': 407.0}",Moderate,Moderate,"{'-0.31 < PM10 <= 0.30': -0.03516816108079218, 'Humidity <= -0.74': -0.02526274550928181, '-0.73 < SO2 <= -0.29': -0.011525925313223315, '-0.75 < Population_Density <= -0.02': -0.010680080587757232, '-0.84 < Proximity_to_Industrial_Areas <= -0.15': -0.008562437152051178}"
559,"{'Temperature': 42.9, 'Humidity': 71.5, 'PM2.5': 30.4, 'PM10': 49.9, 'NO2': 39.1, 'SO2': 18.6, 'CO': 3.22, 'Proximity_to_Industrial_Areas': 4.4, 'Population_Density': 715.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.13221718633512092, 'CO > 0.62': 0.074220925936338, 'Population_Density > 0.68': 0.05813593113209455, 'PM2.5 > 0.25': -0.04561273323958733, 'Temperature > 0.61': 0.042409337092530947}"
560,"{'Temperature': 50.4, 'Humidity': 93.5, 'PM2.5': 17.1, 'PM10': 33.7, 'NO2': 42.7, 'SO2': 17.6, 'CO': 2.56, 'Proximity_to_Industrial_Areas': 3.0999999999999996, 'Population_Density': 610.0}",Hazardous,Hazardous,"{'CO > 0.62': 0.06137418680094207, 'Population_Density > 0.68': 0.052348922050242476, 'SO2 > 0.55': 0.038522341117525075, 'Temperature > 0.61': 0.03465392668769182, '-0.31 < PM10 <= 0.30': -0.033406644523590455}"
561,"{'Temperature': 29.4, 'Humidity': 91.6, 'PM2.5': 30.7, 'PM10': 43.7, 'NO2': 31.1, 'SO2': 5.4, 'CO': 1.67, 'Proximity_to_Industrial_Areas': 7.6, 'Population_Density': 565.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.1140801601308163, 'PM2.5 > 0.25': -0.0419413422234492, 'Humidity > 0.65': 0.025472224145425895, '-0.02 < Population_Density <= 0.68': 0.016002596614210197, '-0.73 < SO2 <= -0.29': -0.008736902548903927}"
562,"{'Temperature': 41.9, 'Humidity': 84.4, 'PM2.5': 75.7, 'PM10': 99.5, 'NO2': 30.0, 'SO2': 17.5, 'CO': 2.32, 'Proximity_to_Industrial_Areas': 3.0, 'Population_Density': 680.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.13252944696896085, 'CO > 0.62': 0.06573589908254825, 'Population_Density > 0.68': 0.05812963043456942, 'PM2.5 > 0.25': -0.047973937387269634, 'Proximity_to_Industrial_Areas <= -0.84': 0.04123696725247001}"
563,"{'Temperature': 23.6, 'Humidity': 53.4, 'PM2.5': 13.5, 'PM10': 20.5, 'NO2': 15.800000000000002, 'SO2': 2.5, 'CO': 0.98, 'Proximity_to_Industrial_Areas': 11.3, 'Population_Density': 235.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.030401004876065365, 'CO <= -0.86': -0.028429398463675173, 'Population_Density <= -0.75': -0.027665606752969737, 'Humidity <= -0.74': -0.024569812679830192, 'SO2 <= -0.73': -0.01707015500912671}"
564,"{'Temperature': 24.9, 'Humidity': 79.2, 'PM2.5': 5.5, 'PM10': 12.2, 'NO2': 21.3, 'SO2': 4.6, 'CO': 1.0, 'Proximity_to_Industrial_Areas': 11.9, 'Population_Density': 225.0}",Good,Good,"{'PM10 <= -0.65': -0.04275798384923417, 'Population_Density <= -0.75': -0.037607579629281095, 'CO <= -0.86': -0.029575934726014535, '-0.63 < PM2.5 <= -0.33': 0.01707413214709153, 'Temperature <= -0.73': -0.01630187427211277}"
565,"{'Temperature': 34.1, 'Humidity': 74.6, 'PM2.5': 27.0, 'PM10': 47.6, 'NO2': 22.4, 'SO2': 27.2, 'CO': 2.57, 'Proximity_to_Industrial_Areas': 3.5, 'Population_Density': 732.0}",Poor,Hazardous,"{'PM10 > 0.30': 0.11927520991130576, 'CO > 0.62': 0.05467497624051314, 'Population_Density > 0.68': 0.04731809481767276, 'PM2.5 > 0.25': -0.036018617557902095, 'Proximity_to_Industrial_Areas <= -0.84': 0.03426474124194786}"
566,"{'Temperature': 31.8, 'Humidity': 99.2, 'PM2.5': 11.7, 'PM10': 43.7, 'NO2': 38.0, 'SO2': 10.0, 'CO': 2.86, 'Proximity_to_Industrial_Areas': 2.7, 'Population_Density': 810.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.11564848485356746, 'CO > 0.62': 0.07002617025513269, 'Population_Density > 0.68': 0.058840476203388406, 'NO2 > 0.61': 0.039071579470210054, 'Proximity_to_Industrial_Areas <= -0.84': 0.03673161424392462}"
567,"{'Temperature': 45.6, 'Humidity': 82.4, 'PM2.5': 13.099999999999998, 'PM10': 27.8, 'NO2': 24.8, 'SO2': 13.8, 'CO': 1.37, 'Proximity_to_Industrial_Areas': 5.5, 'Population_Density': 408.0}",Poor,Poor,"{'-0.31 < PM10 <= 0.30': -0.033438368867960935, 'SO2 > 0.55': 0.02980093730889073, 'Temperature > 0.61': 0.029010975923792304, '-0.86 < CO <= -0.17': -0.023961342661553767, 'Humidity > 0.65': 0.017931176103947587}"
568,"{'Temperature': 29.2, 'Humidity': 63.7, 'PM2.5': 0.1999999999999993, 'PM10': 11.0, 'NO2': 24.3, 'SO2': 18.3, 'CO': 1.3, 'Proximity_to_Industrial_Areas': 11.8, 'Population_Density': 574.0}",Moderate,Moderate,"{'PM10 <= -0.65': -0.0413935997764737, '-0.86 < CO <= -0.17': -0.022500751285671125, 'SO2 > 0.55': 0.018862539514835176, 'PM2.5 <= -0.63': 0.017938609397438344, 'Proximity_to_Industrial_Areas > 0.74': -0.01744461845410241}"
569,"{'Temperature': 28.8, 'Humidity': 76.7, 'PM2.5': 16.8, 'PM10': 23.8, 'NO2': 25.5, 'SO2': 4.1, 'CO': 1.09, 'Proximity_to_Industrial_Areas': 11.7, 'Population_Density': 376.0}",Good,Good,"{'Population_Density <= -0.75': -0.03462065345605874, '-0.31 < PM10 <= 0.30': -0.030873528947943357, '-0.86 < CO <= -0.17': -0.01748744690052861, 'SO2 <= -0.73': -0.014489031017687582, 'Proximity_to_Industrial_Areas > 0.74': -0.012218767918831442}"
570,"{'Temperature': 23.3, 'Humidity': 49.0, 'PM2.5': 29.4, 'PM10': 36.6, 'NO2': 12.6, 'SO2': 6.6, 'CO': 0.82, 'Proximity_to_Industrial_Areas': 10.7, 'Population_Density': 362.0}",Good,Good,"{'Population_Density <= -0.75': -0.03493574960080074, 'PM2.5 > 0.25': -0.03169371945058953, 'Humidity <= -0.74': -0.029566076266881097, '-0.31 < PM10 <= 0.30': -0.02435010314667995, 'CO <= -0.86': -0.02011651056781524}"
571,"{'Temperature': 27.1, 'Humidity': 70.2, 'PM2.5': 2.0, 'PM10': 6.199999999999999, 'NO2': 23.0, 'SO2': 3.5, 'CO': 1.0, 'Proximity_to_Industrial_Areas': 10.1, 'Population_Density': 271.0}",Good,Good,"{'PM10 <= -0.65': -0.039839792022361785, 'Population_Density <= -0.75': -0.03757641684376466, 'CO <= -0.86': -0.026499246433188975, 'PM2.5 <= -0.63': 0.02251748800681628, 'SO2 <= -0.73': -0.016241181927671842}"
572,"{'Temperature': 31.5, 'Humidity': 66.9, 'PM2.5': 4.6, 'PM10': 14.6, 'NO2': 24.7, 'SO2': 19.7, 'CO': 2.47, 'Proximity_to_Industrial_Areas': 7.5, 'Population_Density': 761.0}",Poor,Poor,"{'CO > 0.62': 0.06928640118248763, 'Population_Density > 0.68': 0.050267239375696285, '-0.65 < PM10 <= -0.31': -0.04857858271290441, 'SO2 > 0.55': 0.037401358604579604, 'PM2.5 <= -0.63': 0.01727419854318441}"
573,"{'Temperature': 27.1, 'Humidity': 111.8, 'PM2.5': 2.6000000000000014, 'PM10': 30.7, 'NO2': 32.7, 'SO2': 23.2, 'CO': 1.93, 'Proximity_to_Industrial_Areas': 6.3, 'Population_Density': 691.0}",Poor,Poor,"{'CO > 0.62': 0.07173364243557948, 'Population_Density > 0.68': 0.05565410048539433, 'Humidity > 0.65': 0.04144687536435454, 'NO2 > 0.61': 0.03577816254322275, 'SO2 > 0.55': 0.03560786686038302}"
574,"{'Temperature': 44.9, 'Humidity': 66.4, 'PM2.5': 10.6, 'PM10': 34.3, 'NO2': 38.5, 'SO2': 19.3, 'CO': 2.53, 'Proximity_to_Industrial_Areas': 3.0, 'Population_Density': 575.0}",Hazardous,Hazardous,"{'CO > 0.62': 0.05609998664966752, '-0.31 < PM10 <= 0.30': -0.03617836414100889, 'NO2 > 0.61': 0.03520892634826722, 'Proximity_to_Industrial_Areas <= -0.84': 0.03097275162166218, 'SO2 > 0.55': 0.027466018412161283}"
575,"{'Temperature': 25.0, 'Humidity': 63.9, 'PM2.5': 9.3, 'PM10': 10.8, 'NO2': 15.800000000000002, 'SO2': 4.6, 'CO': 0.92, 'Proximity_to_Industrial_Areas': 10.1, 'Population_Density': 490.0}",Good,Good,"{'PM10 <= -0.65': -0.03614843835402145, 'CO <= -0.86': -0.025352426415183742, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.018935516234526818, 'NO2 <= -0.71': -0.015239523812440528, 'SO2 <= -0.73': -0.014935668666778854}"
576,"{'Temperature': 24.2, 'Humidity': 69.5, 'PM2.5': 6.0, 'PM10': 9.899999999999999, 'NO2': 9.900000000000002, 'SO2': 4.7, 'CO': 0.97, 'Proximity_to_Industrial_Areas': 10.5, 'Population_Density': 461.0}",Good,Good,"{'PM10 <= -0.65': -0.04183926089553604, 'CO <= -0.86': -0.02826373244849366, 'Temperature <= -0.73': -0.01833685658433756, 'SO2 <= -0.73': -0.015819529280532905, 'NO2 <= -0.71': -0.015075990688521003}"
